Epochs,Normal Epoch Times,PAI Epoch Times
0,3.419393301010132,
1,4.4313435554504395,
2,6.426997423171997,
3,6.26965069770813,
4,6.311957597732544,
5,6.396859169006348,
6,6.367863178253174,
7,5.969706296920776,
8,6.278926610946655,
9,5.733933210372925,
10,5.884593486785889,
11,6.468533754348755,
12,6.033793926239014,
13,6.18635106086731,
14,6.62356162071228,
15,6.074074745178223,
16,8.618660926818848,
17,7.861246347427368,
18,8.857231140136719,
19,7.6726484298706055,
20,8.884684324264526,
21,7.874244928359985,
22,6.797474145889282,
23,6.826975345611572,
24,6.819643974304199,
25,7.8188910484313965,
